2023/07/24 08:52:39 Sede: SEDE, Codigo: CODIGO , Clico Academico: CICLO ACADÉMICO, Año: AÑO, Perido: PERIODO, Numero Cuota: Num. Cuota, Cuota: CUOTA DE ENSEÑANZA  
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: A621524 , Clico Academico: 12, Año: 2015, Perido: 2, Numero Cuota: 1, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: A621524 , Clico Academico: 12, Año: 2015, Perido: 2, Numero Cuota: 2, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: A621524 , Clico Academico: 12, Año: 2015, Perido: 2, Numero Cuota: 3, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: A621524 , Clico Academico: 12, Año: 2015, Perido: 2, Numero Cuota: 4, Cuota: 112.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A20362F , Clico Academico: 12, Año: 2018, Perido: 1, Numero Cuota: 4, Cuota: 87.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A20362F , Clico Academico: 12, Año: 2018, Perido: 1, Numero Cuota: 5, Cuota: 87.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A50380B , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 1, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A50380B , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A50380B , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A50380B , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A50380B , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 5, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: E03585K , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 374.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: E03585K , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 374.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: E03585K , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 374.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: E03585K , Clico Academico: 12, Año: 2019, Perido: 2, Numero Cuota: 5, Cuota: 374.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: J03932K , Clico Academico: 12, Año: 2022, Perido: 2, Numero Cuota: 1, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: J03932K , Clico Academico: 12, Año: 2022, Perido: 2, Numero Cuota: 2, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: J03932K , Clico Academico: 12, Año: 2022, Perido: 2, Numero Cuota: 3, Cuota: 33.00 
